                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                    inf,                0.13455,                0.88856,                0.97972,                0.97502,                0.99122,                 0.9881,                0.14047,                0.27421,                0.24637,               0.001684,               0.001684,               0.001684
                     86,                0.03726,                0.13075,                0.88829,                0.97757,                0.97562,                0.99119,                0.98806,                0.13998,                  0.274,                0.24576,               0.001585,               0.001585,               0.001585
                     87,                0.03602,                0.12911,                 0.8887,                0.97934,                0.97504,                0.99097,                0.98785,                0.14131,                0.27662,                0.24743,               0.001486,               0.001486,               0.001486
                     88,                    inf,                0.13014,                0.88733,                0.98226,                0.97377,                0.99093,                0.98775,                0.14297,                0.27871,                0.24959,               0.001387,               0.001387,               0.001387
                     89,                0.03524,                0.12478,                 0.8889,                0.98263,                 0.9738,                0.99103,                0.98772,                0.14469,                0.28105,                0.25189,               0.001288,               0.001288,               0.001288
                     90,                 0.0343,                0.12276,                0.88712,                0.98259,                0.97396,                0.99098,                0.98795,                0.14513,                0.28193,                0.25232,               0.001189,               0.001189,               0.001189
                     91,                 0.0345,                0.12329,                0.88772,                0.98272,                0.97409,                0.99095,                0.98729,                0.14512,                0.28221,                0.25219,                0.00109,                0.00109,                0.00109
                     92,                    inf,                0.12009,                0.88892,                0.97918,                0.97489,                0.99092,                0.98766,                0.14629,                0.28472,                0.25375,               0.000991,               0.000991,               0.000991
                     93,                 0.0328,                0.11829,                0.88798,                0.98259,                0.97276,                0.99102,                0.98735,                0.14751,                0.28582,                0.25519,               0.000892,               0.000892,               0.000892
                     94,                0.03265,                0.11753,                0.88878,                0.98261,                 0.9725,                0.99097,                0.98803,                0.14831,                0.28614,                0.25612,               0.000793,               0.000793,               0.000793
                     95,                0.03161,                0.11495,                0.88816,                0.97978,                0.97521,                0.99105,                0.98773,                0.14943,                0.28684,                 0.2575,               0.000694,               0.000694,               0.000694
                     96,                0.03128,                0.11409,                0.88706,                0.98081,                0.97543,                0.99123,                0.98639,                0.15277,                0.29553,                0.26172,               0.000595,               0.000595,               0.000595
                     97,                    inf,                 0.1111,                 0.8878,                0.97912,                0.97714,                0.99107,                0.98691,                0.15767,                 0.3021,                0.26809,               0.000496,               0.000496,               0.000496
                     98,                    inf,                0.11277,                 0.8898,                0.97877,                0.97699,                0.99117,                0.98719,                0.16017,                0.30509,                0.27128,               0.000397,               0.000397,               0.000397
                     99,                0.02983,                0.10578,                0.88754,                0.98265,                0.97075,                0.99118,                 0.9884,                0.16186,                0.30891,                0.27338,               0.000298,               0.000298,               0.000298
